playername,year,realERA,adjustedERA,diff
Marcus Stroman,2023,4.04,2.19,1.85
Rick Reed,2003,5.13,3.28,1.85
Dave Burba,2001,6.54,4.69,1.85
Michael Lorenzen,2015,5.45,3.60,1.85
Mark Mulder,2000,5.44,3.59,1.85
John Snyder,1999,6.68,4.83,1.85
Jhoulys Chacin,2019,6.07,4.22,1.85
Scott Sanders,1994,4.95,3.10,1.85
Sid Hudson,1946,4.13,2.28,1.85
Michael Wacha,2019,4.66,2.81,1.85
Brad Penny,2002,4.66,2.82,1.84
Joe Kennedy,2003,6.60,4.76,1.84
Don Aase,1980,4.90,3.06,1.84
Jorge de la Rosa,2007,5.63,3.79,1.84
Bryce Miller,2023,4.32,2.48,1.84
Charlie Root,1939,3.66,1.82,1.84
Howie Pollet,1953,4.83,2.99,1.84
Bill Singer,1970,3.13,1.29,1.84
Chuck Stobbs,1950,5.23,3.39,1.84
Mike Paxton,1979,5.86,4.02,1.84
Mike Corkins,1970,4.54,2.70,1.84
Kenta Maeda,2023,4.28,2.44,1.84
Chris Brock,1999,5.48,3.64,1.84
Chris Nabholz,1993,4.04,2.20,1.84
Darrell Rasner,2008,5.40,3.56,1.84
Vicente Padilla,2007,5.76,3.92,1.84
Paul Wagner,1995,4.84,3.00,1.84
Denny Galehouse,1939,4.51,2.68,1.83
Terry Mulholland,2000,5.61,3.78,1.83
Mitch Keller,2021,6.17,4.34,1.83
Garrett Richards,2013,4.18,2.35,1.83
Denny Stark,2002,4.21,2.38,1.83
Dan Petry,1987,6.31,4.48,1.83
Zach Duke,2007,5.61,3.78,1.83
Vern Law,1950,5.21,3.38,1.83
Micah Owings,2008,5.72,3.89,1.83
Bob Porterfield,1956,5.38,3.55,1.83
George Caster,1939,4.88,3.05,1.83
Jhoulys Chacin,2016,5.07,3.24,1.83
Petie Behan,1923,6.38,4.55,1.83
Julio Urias,2023,4.60,2.77,1.83
Tarik Skubal,2022,3.52,1.69,1.83
Johnny Sain,1952,4.41,2.59,1.82
Ricky Bones,1996,6.13,4.31,1.82
Dennis Martinez,1983,6.08,4.26,1.82
Randy Johnson,2003,4.26,2.44,1.82
Joe Bowman,1937,4.39,2.57,1.82
Vin Mazzaro,2010,4.29,2.47,1.82
Nick Martinez,2015,4.09,2.27,1.82
Allen Ripley,1980,4.29,2.47,1.82
Joe Shaute,1931,5.06,3.24,1.82
Burt Hooton,1985,5.64,3.82,1.82
Les Sweetland,1931,4.35,2.53,1.82
Matt Beech,1998,5.15,3.33,1.82
Andy Hawkins,1984,5.25,3.43,1.82
Glenn Sparkman,2019,6.31,4.49,1.82
Matt Garza,2015,5.83,4.01,1.82
Elden Auker,1934,2.97,1.15,1.82
Ryan Rupe,1999,4.55,2.73,1.82
Mel Queen,1950,5.58,3.76,1.82
Brad Keller,2022,4.93,3.12,1.81
Tom Browning,1993,4.70,2.89,1.81
Jarrod Washburn,2004,4.64,2.83,1.81
Jack O'Connor,1982,4.55,2.74,1.81
Jim Abbott,1996,7.90,6.09,1.81
Carlos Rodon,2015,3.79,1.98,1.81
Socks Seibold,1932,4.68,2.87,1.81
Erasmo Ramirez,2017,4.74,2.93,1.81
Wally Bunker,1970,4.05,2.24,1.81
Carlos Perez,2000,6.37,4.56,1.81
Lefty Weinert,1923,5.88,4.07,1.81
Carlos Martinez,2018,3.41,1.60,1.81
Jerome Williams,2015,6.13,4.32,1.81
Scott Carroll,2014,5.40,3.59,1.81
Randy Gumpert,1950,4.97,3.16,1.81
Brent Strom,1973,5.01,3.20,1.81
Blake Stein,2000,4.68,2.88,1.80
Bullet Joe Bush,1915,3.97,2.17,1.80
Jae Weong Seo,2004,5.06,3.26,1.80
Jesse Jefferson,1975,4.95,3.15,1.80
Eduardo Rodriguez,2016,4.71,2.91,1.80
Jim Maloney,1962,3.81,2.01,1.80
Adam Plutko,2019,4.64,2.84,1.80
Jim Bullinger,1997,5.68,3.88,1.80
Barry Latman,1963,5.24,3.44,1.80
Virgil Trucks,1951,3.72,1.92,1.80
Carlos Rodon,2018,4.18,2.38,1.80
Pete Walker,2002,4.79,2.99,1.80
Pete Schourek,1993,5.47,3.67,1.80
Ron Guidry,1987,3.75,1.95,1.80
Mace Brown,1940,4.04,2.25,1.79
Steve Avery,1998,4.77,2.98,1.79
Brad Hennessey,2005,4.64,2.85,1.79
Tanner Houck,2023,5.01,3.22,1.79
Mark Gubicza,1994,4.50,2.71,1.79
Chris Young,2008,3.96,2.17,1.79
Johnny Allen,1940,3.51,1.72,1.79
Dustin Hermanson,2004,4.59,2.80,1.79
Miguel Gonzalez,2017,4.62,2.83,1.79
Thornton Lee,1943,4.18,2.39,1.79
Zane Smith,1995,5.69,3.90,1.79
Jim Walkup,1937,7.57,5.78,1.79
Ryan Yarbrough,2021,5.46,3.67,1.79
Jair Jurrjens,2010,4.64,2.85,1.79
Dutch Leonard,1925,4.44,2.65,1.79
Adam Eaton,2008,5.71,3.92,1.79
Tom Zachary,1934,4.60,2.81,1.79
Drew Smyly,2023,5.62,3.83,1.79
Jim Walkup,1935,6.09,4.30,1.79
Mike Pelfrey,2017,6.01,4.22,1.79
General Crowder,1927,5.90,4.12,1.78
John Smiley,1993,5.62,3.84,1.78
Geremi Gonzalez,1998,5.32,3.54,1.78
Wade Taylor,1991,5.82,4.04,1.78
Frank Wills,1985,6.01,4.23,1.78
Mat Latos,2015,4.92,3.14,1.78
Steve Ontiveros,1995,4.37,2.59,1.78
Brandon Backe,2008,6.05,4.27,1.78
Brian Rose,2000,5.96,4.18,1.78
Floyd Youmans,1987,4.64,2.86,1.78
Casey Fossum,2006,5.33,3.55,1.78
Shane Rawley,1982,4.22,2.44,1.78
Josh Collmenter,2011,3.59,1.81,1.78
Lance McCullers,2017,4.25,2.47,1.78
Matt Andriese,2016,4.80,3.02,1.78
Walter Johnson,1927,5.10,3.32,1.78
Kevin Tapani,2001,4.49,2.71,1.78
Jaime Navarro,1999,6.24,4.46,1.78
Vern Kennedy,1944,4.43,2.65,1.78
Jesse Jefferson,1980,4.93,3.15,1.78
Pablo Lopez,2019,5.09,3.31,1.78
Al Gettel,1945,4.29,2.51,1.78
Joe Hesketh,1994,4.43,2.65,1.78
Freddie Fitzsimmons,1939,3.85,2.07,1.78
Scott Scudder,1992,4.83,3.05,1.78
Joe Mays,2003,6.77,5.00,1.77
Joel Pineiro,2010,3.84,2.07,1.77
Jason Bergmann,2008,5.04,3.27,1.77
D.J. Carrasco,2005,4.84,3.07,1.77
Brian Anderson,1999,4.27,2.50,1.77
Bennie Daniels,1962,5.22,3.45,1.77
Curt Young,1984,4.08,2.31,1.77
Jakie May,1926,3.11,1.34,1.77
Joe Moeller,1970,4.51,2.74,1.77
Virgil Cheeves,1921,4.67,2.90,1.77
Alex Wood,2022,5.10,3.33,1.77
Lynn McGlothen,1979,4.05,2.28,1.77
Wei-Yin Chen,2018,4.79,3.02,1.77
Tony Saunders,1997,4.65,2.88,1.77
Mark Langston,1994,4.68,2.91,1.77
Elizardo Ramirez,2006,5.26,3.49,1.77
Clay Buchholz,2015,3.26,1.49,1.77
Randy Wolf,2007,4.73,2.96,1.77
Carlos Silva,2008,6.46,4.69,1.77
Colby Lewis,2016,3.71,1.94,1.77
Nick Martinez,2014,4.90,3.13,1.77
Matt Garza,2017,5.06,3.29,1.77
Ed Durham,1931,3.36,1.59,1.77
Roy Parmelee,1937,5.61,3.84,1.77
Jake Odorizzi,2022,4.40,2.63,1.77
Bill Sherdel,1929,6.15,4.39,1.76
Myles Thomas,1929,4.09,2.33,1.76
Jimmy Lavender,1917,3.89,2.13,1.76
Andrew Cashner,2016,5.26,3.50,1.76
CC Sabathia,2019,4.99,3.23,1.76
Bob Shaw,1963,3.21,1.45,1.76
Brian Bannister,2010,6.32,4.56,1.76
Mike Foltynewicz,2021,5.54,3.78,1.76
Clark Griffith,1902,4.13,2.37,1.76
Jose Contreras,2008,4.54,2.78,1.76
Zach Plesac,2019,3.81,2.05,1.76
Jim Pittsley,1997,5.46,3.70,1.76
Bob Owchinko,1979,4.25,2.49,1.76
Rocky Coppinger,1996,5.24,3.48,1.76
Andy Hawkins,1989,4.80,3.04,1.76
Antonio Senzatela,2019,6.71,4.95,1.76
Scott Feldman,2017,4.77,3.01,1.76
Ron Darling,1995,6.23,4.47,1.76
Tomo Ohka,2001,5.35,3.59,1.76
Pete Donohue,1928,4.96,3.20,1.76
Travis Wood,2012,4.27,2.51,1.76
Sid Fernandez,1994,5.15,3.40,1.75
Paul Wagner,1993,3.96,2.21,1.75
George Earnshaw,1933,5.94,4.19,1.75
Ryan Drese,2002,6.55,4.80,1.75
Benny Frey,1931,5.14,3.39,1.75
Jack Kramer,1949,5.11,3.36,1.75
Daniel Cabrera,2004,5.03,3.28,1.75
Cy Moore,1933,4.31,2.56,1.75
Hugh McQuillan,1927,4.90,3.15,1.75
Jamey Wright,2002,5.33,3.58,1.75
Brian Anderson,2001,5.46,3.71,1.75
Shawn Chacon,2002,5.73,3.98,1.75
Joe Dobson,1941,4.25,2.50,1.75
Tom Griffin,1970,5.71,3.96,1.75
Clay Parker,1989,4.03,2.28,1.75
Jeff Karstens,2010,4.78,3.03,1.75
Esteban Yan,2000,6.60,4.85,1.75
Jose Quintana,2012,3.97,2.22,1.75
Jason Johnson,2002,4.59,2.84,1.75
Lance Davis,2001,4.74,2.99,1.75
Reid Cornelius,2000,4.76,3.01,1.75
Bud Norris,2012,4.65,2.90,1.75
Byung-Hyun Kim,2007,5.93,4.18,1.75
Sidney Ponson,2005,6.21,4.46,1.75
Micah Owings,2009,5.74,3.99,1.75
Yovani Gallardo,2016,5.42,3.67,1.75
Blake Snell,2021,4.20,2.45,1.75
Josh Beckett,2010,5.78,4.03,1.75
James Shields,2016,5.85,4.11,1.74
Shawn Estes,2003,5.70,3.96,1.74
Paul Wilson,2001,5.13,3.39,1.74
Ben Rivera,1993,5.12,3.38,1.74
Jharel Cotton,2017,5.58,3.84,1.74
Gil Meche,2009,5.09,3.35,1.74
Roberto Hernandez,2011,5.25,3.51,1.74
Nathan Eovaldi,2022,3.87,2.13,1.74
Alex Carrasquel,1939,5.17,3.43,1.74
Catfish Hunter,1978,3.46,1.72,1.74
Bobby Burke,1929,4.81,3.07,1.74
James Shields,2006,4.84,3.10,1.74
Pete Harnisch,1995,3.68,1.94,1.74
Barry Zito,2013,5.55,3.81,1.74
Dick Ruthven,1981,5.23,3.49,1.74
Mike LaCoss,1988,3.62,1.88,1.74
Scott Karl,1995,4.17,2.44,1.73
Seth Greisinger,1998,5.12,3.39,1.73
Jeff Ballard,1991,5.48,3.75,1.73
Bill Piercy,1924,6.18,4.45,1.73
Pedro Astacio,2005,4.66,2.93,1.73
Sean Marshall,2006,5.59,3.86,1.73
Jack Billingham,1977,5.31,3.58,1.73
Cliff Fannin,1947,4.11,2.38,1.73
Bob Kipper,1987,5.91,4.18,1.73
Jake Peavy,2009,3.45,1.72,1.73
Jeff Johnson,1991,5.95,4.22,1.73
Bobby Jones,2002,5.64,3.91,1.73
J.A. Happ,2021,5.79,4.06,1.73
Lucas Giolito,2018,6.13,4.40,1.73
Shawn Boskie,1991,5.48,3.75,1.73
Victor Santos,2006,5.19,3.46,1.73
Flint Rhem,1933,6.32,4.59,1.73
Jason Bere,1998,5.49,3.77,1.72
Ubaldo Jimenez,2017,7.20,5.48,1.72
Dane Dunning,2021,4.55,2.83,1.72
Bob Turley,1959,4.26,2.54,1.72
Zach Davies,2019,3.55,1.83,1.72
Mike Morgan,1996,4.63,2.91,1.72
Earl Whitehill,1937,6.51,4.79,1.72
Ian Anderson,2022,5.00,3.28,1.72
Bret Saberhagen,1984,4.09,2.37,1.72
Chase Anderson,2019,4.19,2.47,1.72
Roy Henshaw,1937,5.11,3.39,1.72
Jeff Francis,2010,4.93,3.21,1.72
Don Lee,1960,3.78,2.06,1.72
Mark Gubicza,1991,5.68,3.96,1.72
Esteban Loaiza,2002,5.71,4.00,1.71
Kenta Maeda,2021,4.66,2.95,1.71
Stu Miller,1953,5.13,3.42,1.71
Tiny Bonham,1947,4.45,2.74,1.71
Mike Foltynewicz,2019,4.54,2.83,1.71
Francisco Liriano,2013,3.02,1.31,1.71
Boom-Boom Beck,1939,4.80,3.09,1.71
Charlie Robertson,1925,4.94,3.23,1.71
Ken Heintzelman,1942,4.59,2.88,1.71
William VanLandingham,1995,3.67,1.96,1.71
Danny Duffy,2011,5.64,3.93,1.71
Armando Reynoso,2000,5.20,3.49,1.71
Kendall Graveman,2017,4.19,2.48,1.71
Wily Peralta,2015,4.72,3.01,1.71
Bill Sherdel,1931,4.30,2.59,1.71
Zach Day,2004,3.93,2.22,1.71
John Curtis,1979,3.54,1.83,1.71
Bill Swift,1994,3.38,1.67,1.71
Guy Morton,1920,4.32,2.61,1.71
Josh Beckett,2002,4.21,2.50,1.71
Nick Blackburn,2010,5.30,3.59,1.71
Ed Head,1943,3.95,2.24,1.71
Chris Paddack,2021,5.08,3.38,1.70
Willie Banks,1994,5.40,3.70,1.70
Tom Seats,1945,4.21,2.51,1.70
Pete Broberg,1973,5.35,3.65,1.70
Reid Detmers,2023,4.48,2.78,1.70
Mike Pelfrey,2016,5.19,3.49,1.70
Charlie Morton,2015,4.81,3.11,1.70
Jamey Wright,1997,6.25,4.55,1.70
Ray Keating,1919,3.16,1.46,1.70
Mike Brown,1983,4.65,2.95,1.70
Mike Mussina,2007,5.16,3.46,1.70
Walter Johnson,1920,2.81,1.11,1.70
Rube Fischer,1943,4.95,3.25,1.70
Ramon Martinez,2000,6.13,4.43,1.70
Jaret Wright,1999,6.06,4.36,1.70
Frank Sullivan,1960,6.21,4.51,1.70
Vincent Velasquez,2019,4.96,3.26,1.70
Nathan Eovaldi,2016,5.08,3.38,1.70
Mike Minor,2014,4.77,3.07,1.70
Brian Bohanon,2000,5.15,3.45,1.70
Ike Butler,1902,5.47,3.77,1.70
Lance McCullers,2018,3.93,2.24,1.69
Wayne Simpson,1977,6.29,4.60,1.69
Paul Calvert,1949,5.41,3.72,1.69
Mike Kilkenny,1970,4.72,3.03,1.69
Rube Benton,1925,4.03,2.34,1.69
George Caster,1940,6.66,4.97,1.69
Nathan Eovaldi,2018,3.77,2.08,1.69
Jason Berken,2009,6.54,4.85,1.69
Mike Maroth,2007,6.26,4.57,1.69
Brian Givens,1995,4.95,3.26,1.69
Jack Fisher,1960,3.66,1.97,1.69
Roger Craig,1960,3.35,1.66,1.69
Lefty Stewart,1928,4.94,3.25,1.69
Don Wengert,1996,5.64,3.95,1.69
Garrett Stephenson,1997,3.22,1.53,1.69
Orlando Hernandez,2006,4.66,2.97,1.69
Steve Stone,1971,3.88,2.19,1.69
Scott Kamieniecki,1994,3.83,2.14,1.69
Bucky Walters,1947,5.75,4.06,1.69
Robin Roberts,1961,6.05,4.36,1.69
Chad Ogea,1997,4.99,3.30,1.69
Kutter Crawford,2023,4.51,2.82,1.69
Scott Sanderson,1987,4.48,2.79,1.69
Terry Adams,2002,5.00,3.31,1.69
Ted Blankenship,1928,4.70,3.02,1.68
Andy Hassler,1976,3.56,1.88,1.68
Davy Dunkle,1903,4.61,2.93,1.68
Wally Burnette,1956,3.33,1.65,1.68
Shawn Estes,2002,5.10,3.42,1.68
Steve Karsay,1997,5.77,4.09,1.68
Todd Van Poppel,1994,6.09,4.41,1.68
Felix Hernandez,2018,5.64,3.96,1.68
Rick Porcello,2013,4.43,2.75,1.68
Mario Soto,1986,4.71,3.03,1.68
Julio Bonetti,1937,6.25,4.57,1.68
Roy Halladay,2004,4.20,2.52,1.68
Paul Zahniser,1925,5.73,4.05,1.68
Manny Parra,2009,6.36,4.68,1.68
Chris Carpenter,2000,6.55,4.87,1.68
Zach Day,2003,4.18,2.50,1.68
Craig Stammen,2010,5.06,3.38,1.68
Joe Nuxhall,1953,4.28,2.60,1.68
Gil Meche,2003,4.59,2.91,1.68
Wilcy Moore,1931,4.99,3.31,1.68
Al Benton,1939,4.62,2.94,1.68
